prevNoms,numWins,numTot,winFrac
0,135,574,0.23519163763066203
1,67,322,0.2080745341614907
2,30,199,0.1507537688442211
3,15,122,0.12295081967213115
4,6,76,0.07894736842105263
5,5,47,0.10638297872340426
6,2,26,0.07692307692307693
7,5,14,0.35714285714285715
8,3,9,0.3333333333333333
9,1,6,0.16666666666666666
10,1,3,0.3333333333333333
11,0,0,nan
12,0,0,nan
13,0,0,nan
14,0,0,nan
