prevWins,numWins,numTot,winFrac
0,216,996,0.21686746987951808
1,38,278,0.1366906474820144
2,13,69,0.18840579710144928
3,4,24,0.16666666666666666
4,2,5,0.4
5,1,3,0.3333333333333333
