year,person,show,nameLen,winOrLose
2011,Matthew Morrison,Glee,16,L
2011,Katey Sagal,Sons of Anarchy,11,W
2011,Julianna Margulies,The Good Wife,18,L
2011,Elisabeth Moss,Mad Men,14,L
2011,Piper Perabo,Covert Affairs,12,L
2011,Kyra Sedgwick,The Closer,13,L
2011,Laura Linney,The Big C,12,W
2011,Toni Collette,United States of Tara,13,L
2011,Edie Falco,Nurse Jackie,10,L
2011,Tina Fey,30 Rock,8,L
2011,Lea Michele,Glee,11,L
2012,Kelsey Grammer,Boss,14,W
2012,Steve Buscemi,Boardwalk Empire,13,L
2012,Bryan Cranston,Breaking Bad,14,L
2012,Jeremy Irons,The Borgias,12,L
2012,Damian Lewis,Homeland,12,L
2012,Matt LeBlanc,Episodes,12,W
2012,Alec Baldwin,30 Rock,12,L
2012,David Duchovny,Californication,14,L
2012,Johnny Galecki,The Big Bang Theory,14,L
2012,Thomas Jane,Hung,11,L
2012,Claire Danes,Homeland,12,W
2012,Mireille Enos,The Killing,13,L
2012,Julianna Margulies,The Good Wife,18,L
2012,Madeleine Stowe,Revenge,15,L
2012,Callie Thorne,Necessary Roughness,13,L
2012,Laura Dern,Enlightened,10,W
2012,Zooey Deschanel,New Girl,15,L
2012,Tina Fey,30 Rock,8,L
2012,Laura Linney,The Big C,12,L
2012,Amy Poehler,Parks and Recreation,11,L
2013,Damian Lewis,Homeland,12,W
2013,Steve Buscemi,Boardwalk Empire,13,L
2013,Bryan Cranston,Breaking Bad,14,L
2013,Jeff Daniels,The Newsroom,12,L
2013,Jon Hamm,Mad Men,8,L
2013,Don Cheadle,House of Lies,11,W
2013,Alec Baldwin,30 Rock,12,L
2013,Louis C.K.,Louie,10,L
2013,Matt LeBlanc,Episodes,12,L
2013,Jim Parsons,The Big Bang Theory,11,L
2013,Claire Danes,Homeland,12,W
2013,Connie Britton,Nashville,14,L
2013,Glenn Close,Damages,11,L
2013,Michelle Dockery,Downton Abbey,16,L
2013,Julianna Margulies,The Good Wife,18,L
2013,Lena Dunham,Girls,11,W
2013,Zooey Deschanel,New Girl,15,L
2013,Tina Fey,30 Rock,8,L
2013,Julia Louis-Dreyfus,Veep,19,L
2013,Amy Poehler,Parks and Recreation,11,L
2014,Bryan Cranston,Breaking Bad,14,W
2014,Kevin Spacey,House of Cards,12,L
2014,Liev Schreiber,Ray Donovan,14,L
2014,Michael Sheen,Masters of Sex,13,L
2014,James Spader,The Blacklist,12,L
2014,Andy Samberg,Brooklyn Nine-Nine,12,W
2014,Don Cheadle,House of Lies,11,L
2014,Jason Bateman,Arrested Development,13,L
2014,Jim Parsons,The Big Bang Theory,11,L
2014,Michael J. Fox,The Michael J. Fox Show,14,L
2014,Robin Wright,House of Cards,12,W
2014,Julianna Margulies,The Good Wife,18,L
2014,Kerry Washington,Scandal,16,L
2014,Tatiana Maslany,Orphan Black,15,L
2014,Taylor Schilling,Orange Is the New Black,16,L
2014,Amy Poehler,Parks and Recreation,11,W
2014,Lena Dunham,Girls,11,L
2014,Edie Falco,Nurse Jackie,10,L
2014,Julia Louis-Dreyfus,Veep,19,L
2014,Zooey Deschanel,New Girl,15,L
2015,Kevin Spacey,House of Cards,12,W
2015,Clive Owen,The Knick,10,L
2015,Dominic West,The Affair,12,L
2015,James Spader,The Blacklist,12,L
2015,Liev Schreiber,Ray Donovan,14,L
2015,Jeffrey Tambor,Transparent,14,W
2015,Louis C.K.,Louie,10,L
2015,William H. Macy,Shameless,15,L
2015,Ricky Gervais,Derek,13,L
2015,Don Cheadle,House of Lies,11,L
2015,Ruth Wilson,The Affair,11,W
2015,Claire Danes,Homeland,12,L
2015,Viola Davis,How to Get Away with Murder,11,L
2015,Julianna Margulies,The Good Wife,18,L
2015,Robin Wright,House of Cards,12,L
2015,Gina Rodriguez,Jane the Virgin,14,W
2015,Taylor Schilling,Orange Is the New Black,16,L
2015,Julia Louis-Dreyfus,Veep,19,L
2015,Edie Falco,Nurse Jackie,10,L
2015,Lena Dunham,Girls,11,L
