prevWins,numWins,numTot,winFrac
0,208,981,0.21202854230377166
1,39,300,0.13
2,15,85,0.17647058823529413
3,6,23,0.2608695652173913
4,1,8,0.125
5,1,1,1.0
6,0,0,nan
7,0,0,nan
8,0,0,nan
9,0,0,nan
