prevNoms,numWins,numTot,winFrac
0,155,607,0.2553542009884679
1,65,321,0.20249221183800623
2,25,198,0.12626262626262627
3,12,113,0.10619469026548672
4,4,67,0.05970149253731343
5,5,37,0.13513513513513514
6,2,17,0.11764705882352941
7,3,8,0.375
8,1,3,0.3333333333333333
9,1,3,0.3333333333333333
