prevLosses,numWins,numTot,winFrac
0,185,734,0.25204359673024523
1,52,323,0.1609907120743034
2,19,168,0.1130952380952381
3,7,88,0.07954545454545454
4,5,38,0.13157894736842105
5,5,18,0.2777777777777778
6,0,3,0.0
7,1,2,0.5
