season,numWins,numTot,winFrac,expWins
1,32,113,0.2831858407079646,18.875952635327636
2,26,99,0.26262626262626265,18.875952635327636
3,16,78,0.20512820512820512,13.375952635327636
4,5,59,0.0847457627118644,10.1676193019943
5,4,44,0.09090909090909091,8.563452635327634
6,1,28,0.03571428571428571,6.638452635327634
7,1,13,0.07692307692307693,4.423174857549858
8,0,9,0.0,3.1136510480260475
9,1,8,0.125,1.7959427146927143
10,1,4,0.25,0.9811278998778998
11,1,4,0.25,0.6602945665445664
